10 45 45
20 189 190
30 432 435
40 777 780
50 1224 1225
60 1755 1770
70 2310 2415
80 3094 3160
90 3999 4005
100 4895 4950
110 5805 5995
120 7004 7140
130 8307 8385
140 9520 9730
150 11154 11175
160 12714 12720
170 14260 14365
180 16109 16110
190 17655 17955
200 19747 19900
210 21867 21945
220 24075 24090
230 26230 26335
240 28329 28680
250 31005 31125
260 33235 33670
270 36315 36315
280 38784 39060
290 41839 41905
300 44759 44850
310 47759 47895
320 50374 51040
330 53789 54285
340 57525 57630
350 61065 61075
360 64610 64620
370 68129 68265
380 71482 72010
390 75114 75855
400 79779 79800
410 83790 83845
420 86765 87990
430 91154 92235
440 96019 96580
450 100947 101025
460 104867 105570
470 109780 110215
480 114707 114960
490 118479 119805
500 124560 124750
